#############################################;;;;;;;;;;;;;;x
negotiated_transfer;Negotiated Transfer;;;;;;;;;;;;;x
negotiated_transfer_desc;Transfer a state or colonial region to another country with no effect on infamy, prestige, or jingoism;;;;;;;;;;;;x
negotiated_transfer_short;$RECIPIENT$ receives $STATE$ from us;;;;;;;;;;;;;x
negotiated_transfer_setup;Transfer $STATE$ from our country to $RECIPIENT$;;;;;;;;;;;;x
NORMAL_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;x
AGRESSION_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;x
conquest_low;Minor Conquest;;;;;;;;;;;;;x
conquest_low_desc;Annex a country of small size and population by conquest;;;;;;;;;;;;;x
conquest_low_setup;Annex minor nation of $RECIPIENT$;;;;;;;;;;;;;x
conquest_low_short;Annex $RECIPIENT$;;;;;;;;;;;;;x
take_capital;Take Capital;;;;;;;;;;;;;x
take_capital_desc;Take the Capital region of a country and force them to move their capital elsewhere;;;;;;;;;;;;;x
take_capital_setup;Take Capital region $STATE$ of $RECIPIENT$;;;;;;;;;;;;;x
take_capital_short;Takes Capital from $RECIPIENT$;;;;;;;;;;;;;x
british_conquest;British Reunification;;;;;;;;;;;;;x
british_conquest_desc;Reunite the British Isles and the British Empire;;;;;;;;;;;;;x
british_conquest_setup;Reunification of $RECIPIENT$;;;;;;;;;;;;;x
british_conquest_short;Annex $RECIPIENT$;;;;;;;;;;;;;x
spanish_conquest;Spanish Reunification;;;;;;;;;;;;;x
spanish_conquest_desc;Reunite the Spanish Empire;;;;;;;;;;;;;x
spanish_conquest_setup;Reunification of $RECIPIENT$;;;;;;;;;;;;;x
spanish_conquest_short;Annex $RECIPIENT$;;;;;;;;;;;;;x
spanish_conquest;Spanish Reunification;;;;;;;;;;;;;x
napoleonic_spain_take_state_desc;Take Spanish State;;;;;;;;;;;;;x
napoleonic_spain_take_state_setup;Conquest of Spain from $RECIPIENT$;;;;;;;;;;;;;x
napoleonic_spain_take_state_short;Annex $RECIPIENT$;;;;;;;;;;;;;x
napoleonic_spain_take_state;Take Spanish State;;;;;;;;;;;;;x
india_acquire_state_desc;Indian Conquest;;;;;;;;;;;;;x
india_acquire_state_setup;Take Indian State from $RECIPIENT$;;;;;;;;;;;;;x
india_acquire_state_short;Annex $RECIPIENT$;;;;;;;;;;;;;x
india_acquire_state;Take Indian State;;;;;;;;;;;;;x
treaty_port_casus_belli;Punitive Expedition;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
treaty_port_casus_belli_desc;Force a country to negotiate an unequal treaty, which includes a treaty port if there's one available.;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
treaty_port_casus_belli_short;Negotiate an unequal treaty;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
treaty_port_casus_belli_setup;Force a country to negotiate an unequal treaty, which includes a treaty port if there's one available;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME;$ORDER$$FIRST$-$SECOND$ War;;;;;;;;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME;$ORDER$$FIRST$-$SECOND$ War;;;;;;;;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME_ENG_QNG;$ORDER$Opium War;;;;;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
